Name,Age,Nationality,Overall,Potential,Club,Preferred Position,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
H. Furuncu,18,France,53,69,US Quevilly-Rouen,CM,51,50,52,48,52,51,50,50,52,52,48,51,45,49,51,51,50,50,52,52,48,51,45,49,51,45
K. Arshanskiy,20,Russia,53,62,FC SKA-Energiya Khabarovsk,RB,47,50,47,48,45,47,52,50,45,47,48,50,47,50,51,47,52,50,45,47,48,50,47,50,51,47
M. Francois,20,France,53,69,FC Sochaux-Montbéliard,CM,51,49,51,50,52,51,50,49,52,51,50,52,49,50,51,51,50,49,52,51,50,52,49,50,51,49
A. Baker,20,Wales,53,67,Sheffield Wednesday,RB,39,51,45,40,39,39,52,51,39,45,40,44,40,43,50,39,52,51,39,45,40,44,40,43,50,40
C. O'Toole,19,Australia,53,65,Brisbane Roar,LB,46,49,49,44,46,46,52,49,46,49,44,48,41,47,52,46,52,49,46,49,44,48,41,47,52,41
A. Jallow,19,Sweden,53,65,Jönköpings Södra IF,RB,44,49,46,44,43,44,52,49,43,46,44,47,42,47,51,44,52,49,43,46,44,47,42,47,51,42
J. Doherty,21,Northern Ireland,53,66,Crawley Town,LWB,41,54,48,44,41,41,52,54,41,48,44,45,45,44,51,41,52,54,41,48,44,45,45,44,51,45
K. McClean,18,Northern Ireland,53,71,St. Johnstone FC,CM,55,42,47,54,52,55,46,42,52,47,54,55,51,54,47,55,46,42,52,47,54,55,51,54,47,51
P. Teixeira,18,Switzerland,53,70,BSC Young Boys,LW,50,34,38,50,45,50,40,34,45,38,50,52,49,52,42,50,40,34,45,38,50,52,49,52,42,49
L. Coddington,22,England,53,63,Northampton Town,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
J. McGuire,22,United States,53,61,Philadelphia Union,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Sterling,18,England,53,73,Tottenham Hotspur,ST,49,30,32,51,42,49,35,30,42,32,51,49,52,51,37,49,35,30,42,32,51,49,52,51,37,52
B. House,18,England,53,72,West Bromwich Albion,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Al Obud,22,Saudi Arabia,53,63,Ettifaq FC,ST,50,29,32,51,43,50,34,29,43,32,51,49,52,50,35,50,34,29,43,32,51,49,52,50,35,52
A. McCarthy,18,Scotland,53,73,Partick Thistle F.C.,CM,55,43,46,54,52,55,44,43,52,46,54,54,52,53,45,55,44,43,52,46,54,54,52,53,45,52
M. Baidoo,18,Ghana,53,65,FC Midtjylland,CM,53,50,51,52,52,53,51,50,52,51,52,52,52,53,51,53,51,50,52,51,52,52,52,53,51,52
G. Vicario,20,Italy,53,61,F.B.C. Unione Venezia,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Gordon,21,Scotland,53,62,St. Johnstone FC,CB,32,52,44,32,34,32,48,52,34,44,32,33,35,32,45,32,48,52,34,44,32,33,35,32,45,35
C. Shelis,17,Cyprus,53,73,Shrewsbury,RB,43,52,49,42,44,43,52,52,44,49,42,46,43,44,52,43,52,52,44,49,42,46,43,44,52,43
B. Babic,19,Switzerland,53,62,FC St. Gallen,ST,48,31,32,50,42,48,33,31,42,32,50,46,52,48,34,48,33,31,42,32,50,46,52,48,34,52
P. Gannon,20,Republic of Ireland,53,61,Bohemian FC,CDM,51,49,51,50,52,51,51,49,52,51,50,52,47,51,52,51,51,49,52,51,50,52,47,51,52,47
L. Williams,18,England,53,70,Exeter City,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Danquah,19,England,53,63,Mansfield Town,LM,44,48,48,44,46,44,52,48,46,48,44,49,43,46,52,44,52,48,46,48,44,49,43,46,52,43
C. Peters,18,England,53,69,Walsall,ST,47,30,32,49,41,47,35,30,41,32,49,47,52,49,36,47,35,30,41,32,49,47,52,49,36,52
T. Blake,19,England,53,66,Mansfield Town,ST,54,41,43,53,50,54,45,41,50,43,53,54,52,54,46,54,45,41,50,43,53,54,52,54,46,52
K. Poprawa,19,Poland,53,64,Śląsk Wrocław,CB,33,52,44,35,35,33,49,52,35,44,35,36,37,35,46,33,49,52,35,44,35,36,37,35,46,37
N. Hatta,31,Japan,53,53,Júbilo Iwata,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Augello,22,Italy,53,61,La Spezia,LB,41,51,46,42,40,41,52,51,40,46,42,45,41,45,51,41,52,51,40,46,42,45,41,45,51,41
D. Vásquez,19,Colombia,53,68,Patriotas Boyacá FC,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Bayly,21,Republic of Ireland,53,62,Drogheda United,CAM,54,45,49,53,52,54,50,45,52,49,53,54,50,54,51,54,50,45,52,49,53,54,50,54,51,50
M. Bech Sorensen,18,Denmark,53,68,Brentford,CB,46,52,50,46,47,46,52,52,47,50,46,50,45,49,52,46,52,52,47,50,46,50,45,49,52,45
M. Cancela,24,Mexico,53,55,Tiburones Rojos de Veracruz,LWB,44,53,48,46,44,44,53,53,44,48,46,48,44,48,52,44,53,53,44,48,46,48,44,48,52,44
N. Sutter,22,Switzerland,53,61,FC Thun,CAM,53,50,52,53,52,53,52,50,52,52,53,54,54,53,52,53,52,50,52,52,53,54,54,53,52,54
E. Brignola,17,Italy,53,71,Benevento Calcio,RW,49,30,31,51,42,49,33,30,42,31,51,48,52,50,34,49,33,30,42,31,51,48,52,50,34,52
A. Sadrijaj,20,Switzerland,53,66,FC Zürich,CB,32,52,46,32,35,32,46,52,35,46,32,34,33,32,44,32,46,52,35,46,32,34,33,32,44,33
R. Barnett,17,England,53,68,Shrewsbury,CM,54,43,47,52,52,54,47,43,52,47,52,54,50,53,48,54,47,43,52,47,52,54,50,53,48,50
S. Cáseres,20,Argentina,53,67,Vélez Sarsfield,CM,52,53,53,52,52,52,55,53,52,53,52,54,52,54,55,52,55,53,52,53,52,54,52,54,55,52
Y. Nuxoll,19,Germany,53,65,SV Meppen,CB,31,52,42,32,32,31,45,52,32,42,32,33,35,32,42,31,45,52,32,42,32,33,35,32,42,35
V. De Lucia,21,Italy,53,63,Bari,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Yiğiter,17,Turkey,53,72,Fenerbahçe SK,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Steacy,24,Republic of Ireland,53,58,Bray Wanderers,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Umerah,20,Nigeria,53,70,Wycombe Wanderers,ST,49,34,36,51,45,49,36,34,45,36,51,48,52,49,37,49,36,34,45,36,51,48,52,49,37,52
N. Vidal,20,Colombia,53,63,CD America de Cali,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Kyei,19,England,53,67,Barnet,RM,50,44,47,50,49,50,50,44,49,47,50,52,48,52,51,50,50,44,49,47,50,52,48,52,51,48
T. Hayles-Docherty,18,England,53,69,Walsall,RM,50,35,38,50,45,50,42,35,45,38,50,52,47,52,43,50,42,35,45,38,50,52,47,52,43,47
M. Haile-Selassie,18,Switzerland,53,71,FC Zürich,CM,49,31,37,48,45,49,40,31,45,37,48,52,43,51,43,49,40,31,45,37,48,52,43,51,43,43
L. Scherff,20,Germany,53,67,Hansa Rostock,LM,44,49,46,43,42,44,52,49,42,46,43,48,40,47,53,44,52,49,42,46,43,48,40,47,53,40
R. Deakin,20,Wales,53,61,Morecambe,ST,46,30,30,48,40,46,31,30,40,30,48,45,52,47,32,46,31,30,40,30,48,45,52,47,32,52
J. Dakir,20,Denmark,53,63,Randers FC,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Jaimes,19,Colombia,53,67,Atlético Bucaramanga,CDM,47,55,52,46,48,47,49,55,48,52,46,46,48,44,49,47,49,55,48,52,46,46,48,44,49,48
T. Brinkmann,21,Germany,53,60,SC Paderborn 07,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Higgins,19,Scotland,53,68,Kilmarnock,CB,35,52,47,35,39,35,49,52,39,47,35,37,37,35,46,35,49,52,39,47,35,37,37,35,46,37
O. Edlund,17,Sweden,53,65,Hammarby IF,ST,51,31,37,51,47,51,35,31,47,37,51,49,52,49,36,51,35,31,47,37,51,49,52,49,36,52
G. Nyberg,19,Sweden,52,60,AIK Solna,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Penfold,18,England,52,68,Peterborough United,ST,48,29,30,50,41,48,33,29,41,30,50,47,51,49,34,48,33,29,41,30,50,47,51,49,34,51
C. Singh,20,India,52,61,,CB,36,51,44,36,36,36,48,51,36,44,36,38,38,37,46,36,48,51,36,44,36,38,38,37,46,38
K. Ramè,19,France,52,66,Foggia,CDM,46,51,51,45,48,46,49,51,48,51,45,47,44,45,49,46,49,51,48,51,45,47,44,45,49,44
W. Hajda,17,Poland,52,69,Górnik Zabrze,CDM,38,51,48,38,40,38,50,51,40,48,38,40,38,38,49,38,50,51,40,48,38,40,38,38,49,38
A. Singh,24,India,52,56,,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Penrice,18,Scotland,52,71,Partick Thistle F.C.,LB,39,51,45,40,39,39,51,51,39,45,40,43,39,42,49,39,51,51,39,45,40,43,39,42,49,39
J. Boyle,19,England,52,67,Huddersfield Town,LM,51,35,39,51,47,51,37,35,47,39,51,51,49,51,40,51,37,35,47,39,51,51,49,51,40,49
Jeong Seung Won,20,Korea Republic,52,65,Daegu FC,RW,51,39,41,53,49,51,41,39,49,41,53,52,53,52,43,51,41,39,49,41,53,52,53,52,43,53
R. Dingwall,20,Scotland,52,66,Ross County FC,ST,49,30,32,50,43,49,33,30,43,32,50,47,51,49,34,49,33,30,43,32,50,47,51,49,34,51
S. Schmidt,20,Germany,52,64,FC Carl Zeiss Jena,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Jay,21,England,52,59,Exeter City,ST,49,30,32,51,41,49,36,30,41,32,51,48,51,51,37,49,36,30,41,32,51,48,51,51,37,51
A. Tajbakhsh,26,England,52,55,Crawley Town,CM,52,43,47,51,51,52,46,43,51,47,51,53,49,52,48,52,46,43,51,47,51,53,49,52,48,49
I. Al Shuayl,22,Saudi Arabia,52,61,Al Qadisiyah,LB,49,48,49,49,49,49,51,48,49,49,49,51,47,51,52,49,51,48,49,49,49,51,47,51,52,47
D. Baur,18,Scotland,52,75,Heart of Midlothian,CB,32,51,44,34,35,32,48,51,35,44,34,36,38,34,45,32,48,51,35,44,34,36,38,34,45,38
D. Docherty,20,Scotland,52,63,Partick Thistle F.C.,CM,51,48,49,50,51,51,49,48,51,49,50,51,48,50,49,51,49,48,51,49,50,51,48,50,49,48
A. Abdallah,19,France,52,63,ES Troyes AC,CB,31,51,44,32,35,31,48,51,35,44,32,34,34,32,45,31,48,51,35,44,32,34,34,32,45,34
F. Barragán,18,Colombia,52,70,Atlético Bucaramanga,CAM,51,41,43,48,48,51,43,41,48,43,48,49,46,49,44,51,43,41,48,43,48,49,46,49,44,46
S. Grogan,19,Republic of Ireland,52,64,St. Patrick's Athletic,CAM,51,42,45,50,49,51,46,42,49,45,50,52,49,51,47,51,46,42,49,45,50,52,49,51,47,49
A. Byrne,20,England,52,61,Exeter City,CM,53,44,47,52,51,53,48,44,51,47,52,53,50,53,48,53,48,44,51,47,52,53,50,53,48,50
O. Snorre,18,Denmark,52,73,Lyngby BK,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
G. Newell,20,England,52,62,Motherwell,ST,47,33,33,49,42,47,33,33,42,33,49,46,51,48,35,47,33,33,42,33,49,46,51,48,35,51
C. Kirk,19,England,52,68,Crewe Alexandra,RM,49,36,39,49,45,49,40,36,45,39,49,51,46,51,42,49,40,36,45,39,49,51,46,51,42,46
J. Sowerby,22,England,52,63,Fleetwood Town,RM,55,32,38,54,51,55,36,32,51,38,54,53,53,53,39,55,36,32,51,38,54,53,53,53,39,53
K. Kambusi,19,Sweden,52,60,IK Sirius,CM,52,50,51,50,51,52,49,50,51,51,50,51,48,50,50,52,49,50,51,51,50,51,48,50,50,48
P. Waring,18,Australia,52,69,Melbourne Victory,ST,48,28,29,50,41,48,32,28,41,29,50,48,51,49,34,48,32,28,41,29,50,48,51,49,34,51
M. Turner,23,United States,52,60,New England Revolution,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Passi,22,India,52,61,,ST,47,37,37,49,42,47,39,37,42,37,49,48,51,49,40,47,39,37,42,37,49,48,51,49,40,51
L. Cattaneo,28,Italy,52,52,Brescia,LM,50,45,48,48,51,50,49,45,51,48,48,51,47,49,49,50,49,45,51,48,48,51,47,49,49,47
K. Al Hamdhi,25,Saudi Arabia,52,54,Ettifaq FC,CDM,51,44,49,49,51,51,48,44,51,49,49,51,46,50,50,51,48,44,51,49,49,51,46,50,50,46
S. Shashoua,18,England,52,70,Tottenham Hotspur,LM,51,35,39,50,45,51,41,35,45,39,50,51,45,52,42,51,41,35,45,39,50,51,45,52,42,45
L. Barr,22,Australia,52,59,Bradford City,CB,30,51,44,31,33,30,48,51,33,44,31,33,33,31,46,30,48,51,33,44,31,33,33,31,46,33
A. Fioretos,22,Greece,52,62,FC Helsingør,CDM,49,53,54,46,51,49,52,53,51,54,46,49,44,47,52,49,52,53,51,54,46,49,44,47,52,44
H. Abdulmajeed,23,Saudi Arabia,52,57,Ohod Club,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Eskesen,18,Denmark,52,68,Odense Boldklub,LM,54,40,45,52,51,54,46,40,51,45,52,54,48,52,47,54,46,40,51,45,52,54,48,52,47,48
C. Melody,20,Republic of Ireland,52,63,Galway United,RM,49,37,39,48,45,49,42,37,45,39,48,51,47,51,43,49,42,37,45,39,48,51,47,51,43,47
D. Jaiyesimi,19,England,52,66,Grimsby Town,CAM,51,36,39,51,45,51,40,36,45,39,51,50,49,52,41,51,40,36,45,39,51,50,49,52,41,49
H. Al Khulaif,21,Saudi Arabia,52,61,Al Fateh,CB,34,51,47,32,38,34,47,51,38,47,32,35,33,32,45,34,47,51,38,47,32,35,33,32,45,33
K. Ekman,19,Sweden,52,68,Jönköpings Södra IF,ST,47,29,30,49,41,47,33,29,41,30,49,46,51,48,34,47,33,29,41,30,49,46,51,48,34,51
H. Kristiansen,18,Norway,52,66,Lillestrøm SK,CM,50,46,49,48,51,50,48,46,51,49,48,51,47,49,49,50,48,46,51,49,48,51,47,49,49,47
M. Yıldız,21,Turkey,52,60,Medicana Sivasspor,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Bakinson,18,England,52,72,Bristol City,CDM,52,49,50,52,51,52,50,49,51,50,52,52,51,52,50,52,50,49,51,50,52,52,51,52,50,51
M. Roerslev,18,Denmark,52,68,FC København,RB,45,48,48,44,45,45,51,48,45,48,44,47,41,46,51,45,51,48,45,48,44,47,41,46,51,41
C. Zesiger,19,Switzerland,52,71,Grasshopper Club Zürich,LB,32,51,44,33,34,32,49,51,34,44,33,36,36,34,47,32,49,51,34,44,33,36,36,34,47,36
S. Gessl,21,Austria,52,64,Karlsruher SC,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
W. Fonguck,19,England,52,69,Barnet,CM,52,51,51,51,51,52,52,51,51,51,51,54,50,53,52,52,52,51,51,51,51,54,50,53,52,50
B. Schipmann,22,Germany,52,57,Holstein Kiel,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Theoharous,17,Australia,52,67,Melbourne Victory,LW,51,28,35,51,45,51,36,28,45,35,51,51,48,52,38,51,36,28,45,35,51,51,48,52,38,48
A. Weidinger,20,Germany,52,60, SSV Jahn Regensburg,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Püschel,20,Germany,52,61,SV Meppen,LB,39,48,44,39,38,39,51,48,38,44,39,43,37,43,50,39,51,48,38,44,39,43,37,43,50,37
M. Cooper,17,England,52,77,Plymouth Argyle,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Möller,18,Germany,52,68,VfL Osnabrück,LM,48,33,37,48,44,48,40,33,44,37,48,51,48,50,42,48,40,33,44,37,48,51,48,50,42,48
A. Suzuki,30,Japan,52,52,Yokohama F. Marinos,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Gilardi,22,Italy,52,60,Vercelli,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Sparrow,23,United States,52,59,Real Salt Lake,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Wilson,17,England,52,74,Exeter City,RB,42,49,44,43,40,42,51,49,40,44,43,46,41,46,51,42,51,49,40,44,43,46,41,46,51,41
C. Ubaezuonu,19,Republic of Ireland,52,61,Dundalk,LB,48,44,44,48,45,48,50,44,45,44,48,51,47,51,51,48,50,44,45,44,48,51,47,51,51,47
T. Garratt,20,England,52,65,Doncaster Rovers,LB,40,52,46,41,40,40,51,52,40,46,41,43,39,42,50,40,51,52,40,46,41,43,39,42,50,39
S. Hausner,17,Denmark,52,70,Aarhus GF,CB,36,51,47,35,39,36,48,51,39,47,35,38,37,36,47,36,48,51,39,47,35,38,37,36,47,37
S. Blake,18,England,52,59,Bristol Rovers,RB,38,54,47,39,39,38,51,54,39,47,39,42,40,41,50,38,51,54,39,47,39,42,40,41,50,40
C. Mulhall,29,Republic of Ireland,52,52,Drogheda United,LW,52,53,53,52,52,52,51,53,52,53,52,52,51,52,52,52,51,53,52,53,52,52,51,52,52,51
A. Rivero,19,Argentina,52,64,Arsenal de Sarandí,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Dønnum,19,Norway,52,70,Vålerenga Fotball,CM,51,48,50,50,51,51,50,48,51,50,50,51,49,49,50,51,50,48,51,50,50,51,49,49,50,49
M. Harness,21,England,52,60,Port Vale,RW,50,32,35,51,44,50,38,32,44,35,51,51,50,52,40,50,38,32,44,35,51,51,50,52,40,50
S. Ingolitsch,20,Austria,52,64,SKN St. Pölten,RWB,45,49,46,45,43,45,51,49,43,46,45,48,42,48,51,45,51,49,43,46,45,48,42,48,51,42
A. Smith,24,Republic of Ireland,52,59,Cork City,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
G. Kawanami,26,Japan,52,56,Albirex Niigata,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Arčon,27,Slovenia,52,52,Górnik Zabrze,LM,48,34,38,48,45,48,39,34,45,38,48,51,49,50,41,48,39,34,45,38,48,51,49,50,41,49
P. Sabbag,20,Colombia,52,67,Asociacion Deportivo Cali,ST,45,33,34,48,41,45,34,33,41,34,48,44,51,46,35,45,34,33,41,34,48,44,51,46,35,51
O. Ozdemir,19,France,52,64,Le Havre AC,RB,38,52,45,40,37,38,51,52,37,45,40,42,40,41,49,38,51,52,37,45,40,42,40,41,49,40
J. Freitag,22,Poland,52,59,Piast Gliwice,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Homma,36,Japan,52,52,Albirex Niigata,CDM,44,51,51,42,46,44,51,51,46,51,42,45,40,43,51,44,51,51,46,51,42,45,40,43,51,40
V. Vesiaho,18,Finland,52,65,HJK Helsinki,CB,32,51,44,33,34,32,47,51,34,44,33,35,35,33,45,32,47,51,34,44,33,35,35,33,45,35
G. Harada,19,Japan,52,67,Yokohama F. Marinos,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Farren,18,Northern Ireland,52,63,Derry City,ST,47,34,34,49,41,47,35,34,41,34,49,46,51,47,36,47,35,34,41,34,49,46,51,47,36,51
C. Camwell,18,England,52,72,Coventry City,LB,45,50,48,45,45,45,51,50,45,48,45,47,44,47,51,45,51,50,45,48,45,47,44,47,51,44
J. Moran,20,England,52,64,Forest Green,CB,30,51,43,30,32,30,48,51,32,43,30,33,33,31,45,30,48,51,32,43,30,33,33,31,45,33
D. Karimani,18,Kosovo,52,73,SC Paderborn 07,CAM,51,42,45,48,49,51,45,42,49,45,48,51,45,50,46,51,45,42,49,45,48,51,45,50,46,45
J. Buus,20,Denmark,52,60,Odense Boldklub,RB,43,49,47,44,42,43,51,49,42,47,44,46,42,45,51,43,51,49,42,47,44,46,42,45,51,42
A. Al Shammari,21,Saudi Arabia,52,57,Al Batin,CM,51,40,46,50,51,51,46,40,51,46,50,52,47,50,47,51,46,40,51,46,50,52,47,50,47,47
K. Tshiembe,20,Denmark,52,68,Lyngby BK,RB,35,51,46,35,37,35,48,51,37,46,35,38,36,35,46,35,48,51,37,46,35,38,36,35,46,36
M. Al Mutairi,25,Saudi Arabia,52,56,Al Batin,CB,32,51,44,32,35,32,47,51,35,44,32,34,34,32,45,32,47,51,35,44,32,34,34,32,45,34
M. Augustin,18,Austria,52,69,Wolfsberger AC,CB,32,51,43,33,34,32,47,51,34,43,33,34,35,32,44,32,47,51,34,43,33,34,35,32,44,35
A. Al Haidari,20,Saudi Arabia,52,60,Ohod Club,LB,39,49,44,40,38,39,51,49,38,44,40,43,38,42,50,39,51,49,38,44,40,43,38,42,50,38
M. Gałecki,21,Poland,52,59,Sandecja Nowy Sącz,CM,50,43,47,49,51,50,45,43,51,47,49,51,47,49,46,50,45,43,51,47,49,51,47,49,46,47
E. Bohinen,18,Norway,52,73,Stabæk Fotball,CM,53,43,47,51,51,53,44,43,51,47,51,52,49,52,46,53,44,43,51,47,51,52,49,52,46,49
A. Wilk,19,Poland,52,65,Cracovia,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Hale,20,Northern Ireland,52,65,Galway United,RM,51,47,48,50,51,51,46,47,51,48,50,51,48,49,47,51,46,47,51,48,50,51,48,49,47,48
S. Brotherton,20,New Zealand,52,65,,CB,33,51,44,33,35,33,47,51,35,44,33,35,36,34,45,33,47,51,35,44,33,35,36,34,45,36
N. Bellikli,18,Turkey,52,64,AFC Wimbledon,LM,49,36,39,48,45,49,41,36,45,39,48,51,46,51,43,49,41,36,45,39,48,51,46,51,43,46
R. Robitsch,27,Austria,52,55,Wolfsberger AC,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Bukva,19,Sweden,52,64,IFK Norrköping,RM,53,30,35,53,46,53,35,30,46,35,53,52,51,54,38,53,35,30,46,35,53,52,51,54,38,51
A. Comrie,20,Scotland,52,67,St. Johnstone FC,RB,42,50,45,44,42,42,51,50,42,45,44,46,41,46,51,42,51,50,42,45,44,46,41,46,51,41
A. Maynard-Brewer,18,Australia,52,75,Charlton Athletic,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Howes,17,England,52,67,Notts County,CM,51,31,33,53,43,51,36,31,43,33,53,51,53,53,38,51,36,31,43,33,53,51,53,53,38,53
B. Cotter,18,Republic of Ireland,52,62,Limerick FC,RB,49,51,51,49,49,49,53,51,49,51,49,51,47,50,53,49,53,51,49,51,49,51,47,50,53,47
A. Kappenberger,20,Denmark,52,66,FC Helsingør,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Thürkauf,20,Switzerland,52,67,Werder Bremen II,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Mehmedovic,19,Austria,52,66,SKN St. Pölten,LB,41,52,45,42,39,41,51,52,39,45,42,44,42,44,49,41,51,52,39,45,42,44,42,44,49,42
J. Muñoz,20,Mexico,52,61,Club León,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Maycock,19,England,52,70,Coventry City,CDM,50,51,52,50,51,50,51,51,51,52,50,52,48,50,51,50,51,51,51,52,50,52,48,50,51,48
O. Hedvall,18,Denmark,52,70,Silkeborg IF,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Baze,19,Sweden,52,69,IFK Norrköping,CM,52,46,49,50,51,52,49,46,51,49,50,52,48,50,49,52,49,46,51,49,50,52,48,50,49,48
K. Humeler,20,Argentina,52,64,Talleres de Cordoba,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Fischerauer,18,Austria,52,67,FC Admira Wacker Mödling,CM,54,43,46,53,51,54,47,43,51,46,53,53,51,53,47,54,47,43,51,46,53,53,51,53,47,51
T. Arndal,19,Denmark,52,65,AC Horsens,CM,52,42,46,50,51,52,44,42,51,46,50,51,49,50,45,52,44,42,51,46,50,51,49,50,45,49
E. Henderson,17,Scotland,52,73,Heart of Midlothian,LW,50,32,35,51,44,50,38,32,44,35,51,51,50,52,40,50,38,32,44,35,51,51,50,52,40,50
P. Kalambayi,17,England,52,66,AFC Wimbledon,CB,29,51,43,30,32,29,46,51,32,43,30,32,32,30,44,29,46,51,32,43,30,32,32,30,44,32
N. Jørgensen,19,Denmark,52,65,Hobro IK,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Sandberg,17,Norway,52,66,Lillestrøm SK,CB,32,51,43,34,34,32,48,51,34,43,34,35,36,34,46,32,48,51,34,43,34,35,36,34,46,36
T. Omenås,25,Norway,52,52,Sogndal,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Kubota,20,Japan,52,65,Kashima Antlers,CDM,49,51,51,47,48,49,53,51,48,51,47,50,44,49,52,49,53,51,48,51,47,50,44,49,52,44
R. Kawai,38,Japan,52,52,Hokkaido Consadole Sapporo,CB,44,52,51,42,46,44,49,52,46,51,42,43,39,42,49,44,49,52,46,51,42,43,39,42,49,39
A. Aktas,17,France,52,73,FC Sochaux-Montbéliard,CAM,51,44,48,49,51,51,47,44,51,48,49,51,47,49,48,51,47,44,51,48,49,51,47,49,48,47
K. Ishii,31,Japan,52,52,Hokkaido Consadole Sapporo,RW,49,31,33,52,43,49,38,31,43,33,52,51,52,52,40,49,38,31,43,33,52,51,52,52,40,52
M. Andersen,19,Denmark,52,66,Aalborg BK,CB,41,51,46,42,41,41,51,51,41,46,42,44,41,43,50,41,51,51,41,46,42,44,41,43,50,41
N. Senoo,20,Japan,52,64,Gamba Osaka,LM,51,39,42,51,46,51,44,39,46,42,51,50,48,52,44,51,44,39,46,42,51,50,48,52,44,48
G. Meli,18,Italy,52,70,Empoli,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Havlena,18,Czech Republic,52,70,Virtus Entella,CM,49,46,50,48,51,49,48,46,51,50,48,49,48,47,49,49,48,46,51,50,48,49,48,47,49,48
J. Bedford,18,England,52,66,Portsmouth,CAM,51,39,43,50,48,51,43,39,48,43,50,51,46,51,44,51,43,39,48,43,50,51,46,51,44,46
S. Martin,20,Scotland,52,67,Hibernian,CM,51,49,51,50,51,51,50,49,51,51,50,51,49,49,50,51,50,49,51,51,50,51,49,49,50,49
Y. Nishibe,36,Japan,52,52,Shimizu S-Pulse,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Boney,19,England,52,69,Blackpool,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Tokich,18,Australia,52,67,Western Sydney Wanderers,CAM,51,37,41,49,47,51,40,37,47,41,49,49,48,50,41,51,40,37,47,41,49,49,48,50,41,48
A. Al Yousif,19,Saudi Arabia,52,62,Al Fateh,CB,46,52,51,44,47,46,50,52,47,51,44,46,44,44,49,46,50,52,47,51,44,46,44,44,49,44
Y. Al Sayyah,21,Saudi Arabia,52,62,Al Taawoun,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Jakobsen,19,Denmark,52,71,Derby County,ST,48,36,37,49,44,48,38,36,44,37,49,48,51,48,39,48,38,36,44,37,49,48,51,48,39,51
B. Chevreuil,20,Haiti,52,60,La Berrichonne de Châteauroux,CAM,51,40,43,51,48,51,43,40,48,43,51,52,49,51,44,51,43,40,48,43,51,52,49,51,44,49
J. Hernandez,21,Mexico,52,60,Real Salt Lake,CM,51,37,44,50,50,51,44,37,50,44,50,52,48,51,46,51,44,37,50,44,50,52,48,51,46,48
D. Dumont,17,France,52,65,GFC Ajaccio,CB,32,51,45,33,35,32,49,51,35,45,33,35,36,33,46,32,49,51,35,45,33,35,36,33,46,36
S. Ohlsson,24,Sweden,52,58,IFK Göteborg,RM,52,36,38,53,47,52,39,36,47,38,53,51,52,52,41,52,39,36,47,38,53,51,52,52,41,52
